member,seat,hipClearance,kneeTarget,handError,maxHandError,leftKnee,rightKnee,chairPenetrations,cushion,upperLeg,torso,rail,stem,leanDegrees,workClock
father,seat_father,0.1130,95.0000,0.0037,0.0073,98.6742,99.3035,0,0,0,0,0,0,35.0000,0.4250
father,seat_father,0.1130,95.0000,0.0038,0.0076,98.6742,99.3035,0,0,0,0,0,0,35.0000,0.4500
father,seat_father,0.1130,95.0000,0.0040,0.0080,98.6741,99.3035,0,0,0,0,0,0,35.0000,0.4750
father,seat_father,0.1130,95.0000,0.0041,0.0083,98.6740,99.3035,0,0,0,0,0,0,35.0000,0.5000
father,seat_father,0.1130,95.0000,0.0043,0.0085,98.6739,99.3034,0,0,0,0,0,0,35.0000,0.5250
father,seat_father,0.1130,95.0000,0.0044,0.0087,98.6739,99.3034,0,0,0,0,0,0,35.0000,0.5500
father,seat_father,0.1130,95.0000,0.0044,0.0089,98.6738,99.3032,0,0,0,0,0,0,35.0000,0.5750
father,seat_father,0.1130,95.0000,0.0044,0.0089,98.6736,99.3032,0,0,0,0,0,0,35.0000,0.6000
father,seat_father,0.1130,95.0000,0.0044,0.0089,98.6734,99.3030,0,0,0,0,0,0,35.0000,0.6250
father,seat_father,0.1130,95.0000,0.0044,0.0087,98.6733,99.3030,0,0,0,0,0,0,35.0000,0.6500
father,seat_father,0.1130,95.0000,0.0043,0.0085,98.6732,99.3028,0,0,0,0,0,0,35.0000,0.6750
father,seat_father,0.1130,95.0000,0.0041,0.0083,98.6731,99.3026,0,0,0,0,0,0,35.0000,0.7000
father,seat_father,0.1130,95.0000,0.0040,0.0080,98.6728,99.3025,0,0,0,0,0,0,35.0000,0.7250
father,seat_father,0.1130,95.0000,0.0038,0.0076,98.6727,99.3022,0,0,0,0,0,0,35.0000,0.7500
father,seat_father,0.1130,95.0000,0.0037,0.0073,98.6727,99.3021,0,0,0,0,0,0,35.0000,0.7750
father,seat_mother,0.1130,95.0000,0.0035,0.0070,98.6725,99.3019,0,0,0,0,0,0,35.0000,-0.0250
father,seat_mother,0.1130,95.0000,0.0035,0.0070,98.6725,99.3019,0,0,0,0,0,0,35.0000,0.0000
father,seat_mother,0.1130,95.0000,0.0034,0.0067,98.6727,99.3019,0,0,0,0,0,0,35.0000,0.0250
father,seat_mother,0.1130,95.0000,0.0032,0.0065,98.6728,99.3021,0,0,0,0,0,0,35.0000,0.0500
father,seat_mother,0.1130,95.0000,0.0031,0.0063,98.6730,99.3023,0,0,0,0,0,0,35.0000,0.0750
father,seat_mother,0.1130,95.0000,0.0030,0.0061,98.6732,99.3023,0,0,0,0,0,0,35.0000,0.1000
father,seat_mother,0.1130,95.0000,0.0030,0.0060,98.6734,99.3024,0,0,0,0,0,0,35.0000,0.1250
father,seat_mother,0.1130,95.0000,0.0029,0.0059,98.6736,99.3025,0,0,0,0,0,0,35.0000,0.1500
father,seat_mother,0.1130,95.0000,0.0029,0.0058,98.6737,99.3027,0,0,0,0,0,0,35.0000,0.1750
father,seat_mother,0.1130,95.0000,0.0029,0.0058,98.6740,99.3026,0,0,0,0,0,0,35.0000,0.2000
father,seat_mother,0.1130,95.0000,0.0029,0.0058,98.6741,99.3028,0,0,0,0,0,0,35.0000,0.2250
father,seat_mother,0.1130,95.0000,0.0029,0.0059,98.6740,99.3030,0,0,0,0,0,0,35.0000,0.2500
father,seat_mother,0.1130,95.0000,0.0030,0.0060,98.6742,99.3030,0,0,0,0,0,0,35.0000,0.2750
father,seat_mother,0.1130,95.0000,0.0030,0.0061,98.6742,99.3031,0,0,0,0,0,0,35.0000,0.3000
father,seat_mother,0.1130,95.0000,0.0031,0.0062,98.6742,99.3032,0,0,0,0,0,0,35.0000,0.3250
father,seat_mother,0.1130,95.0000,0.0032,0.0065,98.6742,99.3034,0,0,0,0,0,0,35.0000,0.3500
father,seat_mother,0.1130,95.0000,0.0034,0.0067,98.6742,99.3033,0,0,0,0,0,0,35.0000,0.3750
father,seat_mother,0.1130,95.0000,0.0035,0.0070,98.6743,99.3035,0,0,0,0,0,0,35.0000,0.4000
father,seat_mother,0.1130,95.0000,0.0037,0.0073,98.6743,99.3037,0,0,0,0,0,0,35.0000,0.4250
father,seat_mother,0.1130,95.0000,0.0038,0.0076,98.6741,99.3035,0,0,0,0,0,0,35.0000,0.4500
father,seat_mother,0.1130,95.0000,0.0040,0.0080,98.6741,99.3035,0,0,0,0,0,0,35.0000,0.4750
father,seat_mother,0.1130,95.0000,0.0041,0.0083,98.6740,99.3035,0,0,0,0,0,0,35.0000,0.5000
father,seat_mother,0.1130,95.0000,0.0043,0.0085,98.6740,99.3034,0,0,0,0,0,0,35.0000,0.5250
father,seat_mother,0.1130,95.0000,0.0044,0.0087,98.6738,99.3033,0,0,0,0,0,0,35.0000,0.5500
father,seat_mother,0.1130,95.0000,0.0044,0.0089,98.6738,99.3032,0,0,0,0,0,0,35.0000,0.5750
father,seat_mother,0.1130,95.0000,0.0044,0.0089,98.6737,99.3032,0,0,0,0,0,0,35.0000,0.6000
father,seat_mother,0.1130,95.0000,0.0044,0.0089,98.6735,99.3031,0,0,0,0,0,0,35.0000,0.6250
father,seat_mother,0.1130,95.0000,0.0044,0.0087,98.6735,99.3029,0,0,0,0,0,0,35.0000,0.6500
father,seat_mother,0.1130,95.0000,0.0043,0.0085,98.6732,99.3029,0,0,0,0,0,0,35.0000,0.6750
father,seat_mother,0.1130,95.0000,0.0041,0.0083,98.6732,99.3026,0,0,0,0,0,0,35.0000,0.7000
